id,name,album,artist,popularity,release_date,duration_ms,explicit,genre
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,96,2024-04-05,218423,False,pop
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,100,2024-05-17,210373,False,pop
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,"Post Malone, Morgan Wallen",94,2024-05-10,178205,True,pop
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Please Please Please,Sabrina Carpenter,97,2024-06-06,186365,True,pop
2qSkIjg1o9h3YT9RAgYN75,Espresso,Espresso,Sabrina Carpenter,98,2024-04-12,175459,True,pop
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,The Rise and Fall of a Midwest Princess,Chappell Roan,91,2023-09-22,184841,False,pop
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,92,2024-04-12,171291,True,pop
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,The Rise and Fall of a Midwest Princess,Chappell Roan,88,2023-09-22,258034,False,pop
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,The Rise and Fall of a Midwest Princess,Chappell Roan,88,2023-09-22,192720,True,pop
629DixmZGHc7ILtEntuiWE,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,92,2024-05-17,179586,False,pop
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",92,2024-08-01,143330,False,pop
7tI8dRuH2Yc6RuoTjxo4dU,Who,MUSE,Jimin,95,2024-07-19,170887,False,pop
4w2GLmK2wnioVnb5CPQeex,360,BRAT,Charli xcx,89,2024-06-07,133805,True,pop
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),"Where I've Been, Isn't Where I'm Going",Shaboozey,88,2024-05-31,171291,True,pop
3WSOUb3U7tqURbBSgZTrZX,Casual,The Rise and Fall of a Midwest Princess,Chappell Roan,86,2023-09-22,232796,True,pop
19RybK6XDbAVpcdxSbZL1o,Apple,BRAT,Charli xcx,89,2024-06-07,151739,False,pop
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Stargazing,Myles Smith,93,2024-05-10,172533,False,pop
51eSHglvG1RJXtL3qI5trr,Slow It Down,Fireworks & Rollerblades,Benson Boone,90,2024-04-05,161831,False,pop
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,92,2019-08-23,178426,False,pop
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,91,2024-05-17,303440,False,pop
3qhlB30KknSejmIvZZLjOD,End of Beginning,DECIDE,Djo,92,2022-09-16,159245,False,pop
0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,Unreal Unearth: Unheard,Hozier,83,2024-03-22,251424,False,pop
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,90,2024-05-17,261466,False,pop
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Fireworks & Rollerblades,Benson Boone,91,2024-04-05,180304,False,pop
53IRnAWx13PYmoVYtemUBS,Femininomenon,The Rise and Fall of a Midwest Princess,Chappell Roan,85,2023-09-22,219710,True,pop
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),Guy For That,"Post Malone, Luke Combs",86,2024-07-26,164011,False,pop
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,I Love You.,The Neighbourhood,91,2013-04-19,240400,False,pop
1bjeWoagtHmUKputLVyDxQ,Saturn,Saturn,SZA,89,2024-02-22,186191,False,pop
7iQMm50NNwlUIRWhONZR2k,Wind Up Missin’ You,Wind Up Missin’ You,Tucker Wetmore,83,2024-03-29,166040,True,pop
32fSZSbxeVoiZShMQKLc6Z,My Kink Is Karma,The Rise and Fall of a Midwest Princess,Chappell Roan,84,2023-09-22,222578,False,pop
2Zo1PcszsT9WQ0ANntJbID,Feather,emails i can’t send fwd:,Sabrina Carpenter,88,2023-03-17,185552,True,pop
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,"Taylor Swift, Post Malone",90,2024-04-18,228965,False,pop
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Unheard,Hozier,82,2024-03-22,251424,False,pop
6WTFHKrnZpwEBLRS10Ylqs,misses,14 minutes,Dominic Fike,86,2024-05-03,74378,False,pop
6dgUya35uo964z7GZXM07g,Nonsense,emails i can't send,Sabrina Carpenter,88,2022-07-15,163648,False,pop
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Belong Together,Mark Ambor,91,2024-02-16,148317,False,pop
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,"Diplo, Morgan Wallen",82,2020-05-29,169226,True,pop
4VQO1UdVIecQqB49PlANHz,It's Up (feat. Young Thug & 21 Savage),100 GIGS,"Drake, Young Thug, 21 Savage",80,2024-08-10,278000,True,pop
